frame,class,id,x_center,y_center,x,y,w,h
94,truck,2,176.38403,404.55957,158.6126,384.39746,35.542862,40.32422
95,car,1,191.40387,664.3927,3.461903,564.82776,375.88394,199.12982
95,truck,2,176.35953,404.8332,158.5093,384.5577,35.70047,40.550934
96,car,1,191.41188,664.2891,3.1859066,564.6945,376.45193,199.18921
96,truck,2,176.36732,404.96704,158.50024,384.6599,35.73416,40.614227
97,car,1,191.38324,664.6414,2.170634,564.5702,378.4252,200.14246
97,truck,2,176.37547,404.8942,158.2439,384.27005,36.263153,41.24829
98,car,1,191.39226,664.75964,2.4535553,564.9351,377.8774,199.64899
98,truck,2,176.5098,404.75568,158.28137,384.022,36.456833,41.467377
99,car,1,191.42693,664.4792,2.1577652,564.5403,378.53833,199.8778
99,truck,2,176.63947,404.601,158.42271,383.89822,36.433517,41.40558
100,car,1,191.46967,664.322,1.4009159,563.95874,380.1375,200.72662
100,truck,2,176.7463,404.3069,158.49628,383.60278,36.500046,41.408173
101,car,1,191.47961,664.3196,1.1249534,563.8033,380.70932,201.03265
101,truck,2,176.87817,403.9007,158.50604,383.0932,36.744263,41.61502
102,car,1,191.44217,663.7949,0.93245184,563.1894,381.01944,201.211
102,truck,2,177.0089,403.74042,158.55385,382.85748,36.910095,41.76584
103,car,1,191.08992,664.1139,0.17984046,563.0603,381.82016,202.10724
103,truck,2,176.99617,403.68,158.48926,382.74765,37.013824,41.864716
104,car,1,191.40724,664.2185,0.81447846,563.5175,381.18552,201.40204
104,truck,2,177.09937,403.6859,158.47763,382.6323,37.243484,42.10724
105,car,1,191.4262,663.82385,1.0990485,563.2971,380.6543,201.05347
105,truck,2,177.14456,404.03442,158.47096,382.9316,37.347214,42.205627
106,car,1,191.44968,664.0887,1.1845608,563.61053,380.53024,200.9563
106,truck,2,177.01846,404.4909,158.28105,383.30432,37.474823,42.37314
107,car,1,191.43443,664.2793,0.8688828,563.6101,381.1311,201.33838
107,truck,2,176.97366,404.66147,158.21492,383.43848,37.51747,42.445984
108,car,1,191.44746,664.1256,1.610336,563.91754,379.67426,200.4162
108,truck,2,176.85236,404.9495,158.05042,383.64575,37.603867,42.607483
109,car,1,191.44412,663.9945,1.2728328,563.61035,380.3426,200.76837
109,truck,2,176.80515,405.5965,157.85834,384.12347,37.893616,42.946045
110,car,1,191.48013,663.93665,1.2852668,563.5557,380.38974,200.7619
110,truck,2,176.68027,406.12646,157.46603,384.32553,38.42845,43.601868
111,car,1,191.20097,664.3827,0.4019647,563.4705,381.59802,201.82428
111,truck,2,176.62648,406.15753,157.28566,384.2334,38.68164,43.848297
112,car,1,191.43349,664.26746,1.0224644,563.74457,380.82205,201.04584
112,truck,2,176.52045,405.88297,157.18094,383.96292,38.679016,43.840088
113,car,1,191.23788,664.3325,0.47576743,563.4613,381.52423,201.74243
113,truck,2,176.59431,405.6109,157.2353,383.68732,38.718018,43.847137
114,car,1,191.44708,665.4474,0.8941471,564.79767,381.10587,201.29938
114,truck,2,176.65546,405.4707,157.28412,383.5494,38.74266,43.84259
115,car,1,191.23848,665.21423,0.47693935,564.29724,381.52307,201.83392
115,truck,2,176.91179,405.52286,157.36441,383.4385,39.094757,44.1687
116,car,1,191.0,664.331,0.0,562.843,382.0,202.97595
116,truck,2,176.97916,405.6673,157.28203,383.46967,39.39427,44.395264
117,car,1,191.0,664.24243,0.0,561.97406,382.0,204.5368
117,truck,2,177.02948,405.65668,157.34384,383.517,39.371292,44.27939
118,car,1,191.0,664.4957,0.0,562.99,382.0,203.01141
118,truck,2,177.11475,405.1125,157.15407,382.64188,39.921356,44.941254
